Student_ID,Attendance_%,CGPA_10,Backlogs,Credits_Earned,Credits_Attempted,Assignment_Submission_%,Average_Exam_Marks_%,Semester,Fee_Status,Scholarship,Previous_Academic_%,Course,Dropout
S0023,78.8,6,2,16,24,100,90.1,5,Paid,No,55.4,CIVIL,1
S0024,60.9,7.48,1,17,24,79.2,79.5,6,Paid,No,70,CIVIL,1
S0025,71.5,5.88,1,21,24,91.8,62.7,5,Paid,No,84,EEE,0
S0026,79.3,4.63,1,23,24,65.1,47,1,Paid,Yes,93.7,MECH,1
S0027,64.2,4.85,2,23,24,77.8,50.2,6,Paid,No,68.8,EEE,0
S0028,82.5,6.86,2,13,24,99.2,77.1,2,Paid,No,46.3,ECE,0
S0029,70.8,7.11,2,14,24,72.4,55.2,4,Paid,Yes,68.8,CIVIL,0
S0030,74.5,5.71,2,14,24,78.9,49.9,1,Pending,No,69.2,EEE,1
S0031,70.8,7.57,2,23,24,90.7,53.4,2,Paid,No,76.8,MECH,0
S0032,100,4.81,0,23,24,64.9,54.4,2,Pending,No,67.8,ECE,1
S0033,77.8,6.72,2,20,24,43.6,75.9,6,Paid,No,68.9,CSE,0
S0034,65.3,5.35,0,18,24,79.8,61.8,3,Paid,Yes,59.8,EEE,1
S0035,87.9,6.02,1,19,24,90.8,44.8,3,Paid,Yes,63.9,ECE,0
S0036,63.3,6.86,2,22,24,55.7,64.4,1,Paid,Yes,74.7,CSE,0
S0037,80.5,5.77,2,21,24,86.1,67.1,3,Paid,No,41.9,EEE,0
S0038,54.5,6.34,1,22,24,86.2,57.3,2,Paid,Yes,63.9,ECE,0
S0039,62.1,8.01,0,20,24,41.9,80.2,3,Paid,No,76.9,ECE,0
S0040,80.4,6.11,2,17,24,62,58.1,5,Paid,Yes,89.3,EEE,1
S0041,86.9,7.8,1,15,24,70.1,79.5,3,Paid,Yes,62.8,ECE,0
S0042,80.1,5.44,1,23,24,73.3,72.4,2,Pending,No,83.4,CIVIL,0
S0043,76.6,7.44,2,12,24,64.9,77,6,Paid,No,90,EEE,0
S0044,74.4,8.53,0,19,24,64,48.6,1,Paid,Yes,63,ECE,0
S0045,60.3,3.83,0,18,24,100,65.4,4,Paid,No,60.7,CSE,1
S0046,69.4,5.84,1,13,24,74.4,63.3,3,Paid,No,65.6,CSE,1
S0047,72.5,7.49,2,19,24,65.6,44.1,2,Paid,Yes,66.9,CIVIL,0
S0048,90.7,6.56,2,23,24,75.4,79.5,4,Pending,Yes,82.2,EEE,0
S0049,82.1,7.25,0,16,24,84.1,52.6,4,Paid,No,57.9,ECE,0
S0050,56.8,6.08,0,18,24,76.8,55.5,5,Paid,No,88,ECE,1
S0051,81.9,6.9,2,15,24,72.9,49.8,4,Paid,Yes,57.6,CSE,1
S0052,73.4,6.61,4,16,24,66.2,73.8,6,Paid,No,51.6,CIVIL,1
S0053,69.9,8.2,0,19,24,66.1,42.6,2,Paid,No,74.8,CSE,0
S0054,85.3,7.11,0,12,24,67,72.7,2,Paid,No,84,CSE,0
S0055,90.4,7.21,0,12,24,81.1,78.6,3,Pending,No,70.3,CIVIL,0
S0056,89.2,6.31,2,15,24,61.1,71.5,3,Paid,No,73.7,EEE,1
S0057,67.9,6.21,0,14,24,81.9,74,3,Pending,No,93.4,ECE,1
S0058,74.3,6.28,2,24,24,97.2,74.6,6,Paid,No,84.2,EEE,0
S0059,82,7.27,1,21,24,80.9,50.7,4,Paid,No,68.4,MECH,0
S0060,89.7,6.29,0,23,24,70.5,84.1,4,Paid,No,62.4,MECH,0
S0061,72.2,7.15,2,13,24,56.5,57.6,5,Paid,No,82.2,MECH,1
S0062,75.8,9.29,3,23,24,99.7,63.1,6,Pending,Yes,78.8,CIVIL,0
S0063,64.7,7.85,1,14,24,58.4,59.3,3,Paid,No,73.4,CSE,0
S0064,63.6,6.41,1,22,24,88.7,70.9,1,Paid,No,63.7,EEE,1
S0065,87.8,8.24,0,22,24,85.6,56.5,5,Paid,No,67,ECE,0
S0066,94.3,6.31,0,22,24,72.4,64.9,1,Paid,No,66.1,MECH,0
S0067,77.1,4.35,1,12,24,72.1,46.7,4,Paid,No,64,EEE,1
S0068,90,5.59,2,12,24,48.5,80.3,5,Paid,Yes,60.2,MECH,0
S0069,82.3,4.56,1,17,24,81,73.4,5,Paid,No,71.4,MECH,1
S0070,70.3,6.38,1,16,24,85.3,59.9,2,Paid,No,59.6,ECE,1
S0071,82.3,6.82,4,19,24,59.7,57.4,4,Paid,Yes,70.3,CIVIL,1
S0072,96.5,8.81,2,13,24,73.7,73,4,Paid,Yes,40.7,CSE,0
S0073,77.6,7.19,0,15,24,76.6,54.1,6,Paid,No,60.2,CIVIL,0
S0074,96.8,6.54,3,19,24,84.8,65.8,5,Pending,Yes,82.3,EEE,0
S0075,46.6,7.8,1,23,24,76.1,80.3,4,Pending,Yes,56.3,CIVIL,1
S0076,87.9,4.15,1,17,24,51.6,52.6,5,Paid,No,75.7,EEE,1
S0077,79,7.08,2,12,24,68.1,69.2,6,Paid,No,57.4,EEE,0
S0078,74.4,7.73,3,15,24,79.4,68.4,6,Paid,No,78.1,CSE,0
S0079,79.1,5.03,3,12,24,88.6,62.6,2,Paid,No,64.1,ECE,0
S0080,54.1,8.17,0,24,24,66.7,56.9,5,Paid,Yes,63.6,CSE,0
S0081,75.4,7.21,3,13,24,100,81,4,Paid,No,68.7,CIVIL,0
S0082,82.3,6.3,2,16,24,47.6,55.6,4,Paid,No,50.5,EEE,1
S0083,95.7,7.56,1,19,24,67.5,38.6,5,Pending,No,80.6,MECH,0
S0084,71.8,9.52,0,19,24,74.8,73,5,Paid,No,84.9,MECH,0
S0085,68.3,7.02,1,22,24,73,47.2,5,Paid,No,63.3,EEE,0
S0086,72,7.1,1,14,24,57.5,73.7,3,Paid,No,74.8,CSE,0
S0087,89,6.25,1,22,24,82.7,82.7,4,Paid,No,78.1,ECE,0
S0088,81.9,5.78,1,24,24,81.6,72.8,6,Pending,No,66.8,CSE,1
S0089,71.6,7.8,0,15,24,76.7,79,4,Paid,No,53.6,EEE,0
S0090,84.2,5.77,2,21,24,81,92.3,3,Paid,No,88.7,EEE,0
S0091,79.2,6.89,1,22,24,69.6,77.5,5,Paid,No,62.9,ECE,0
S0092,89.6,6.23,2,17,24,51.7,68.6,2,Paid,No,60.1,CIVIL,1
S0093,69.6,7.37,0,22,24,65.3,86.9,5,Paid,No,89.3,CIVIL,0
S0094,74.1,7.2,1,22,24,78.4,88.6,5,Paid,No,75.9,ECE,0
S0095,73.3,8.05,1,21,24,78.4,88.8,3,Pending,No,71.3,CIVIL,0
S0096,60.4,6.19,1,14,24,76.6,57.1,4,Paid,No,55.4,MECH,0
S0097,81.6,6.48,4,13,24,84.2,45,5,Paid,No,78.4,CIVIL,0
S0098,81.1,5.63,0,17,24,67.3,56.3,4,Pending,No,100,CIVIL,1
S0099,78.1,6.27,0,22,24,76.4,73.9,1,Paid,No,79.4,CIVIL,0
S0100,75.2,7.25,2,24,24,84.6,66.2,6,Paid,No,74.4,MECH,1
S0101,61,7.71,1,16,24,74.7,61.1,4,Paid,No,77.4,CIVIL,0
S0102,73,5.69,1,21,24,57.4,71.8,2,Paid,No,63.7,MECH,1
S0103,73.9,7.84,0,16,24,61.6,43.4,6,Paid,No,63.6,ECE,0
S0104,68.4,8.43,1,21,24,88.5,66,2,Paid,No,63.4,CSE,0
S0105,76.1,7.3,0,24,24,96.9,79.7,5,Paid,Yes,60.5,ECE,0
S0106,82.8,9.05,0,16,24,93.6,71.7,6,Paid,No,63.4,CSE,0
S0107,100,5.87,2,21,24,79.5,73.7,4,Paid,No,63.4,ECE,0
S0108,80.1,5.31,2,23,24,58,86.4,6,Pending,No,64.8,CSE,1
S0109,81.1,4.67,1,16,24,75.9,63.1,5,Pending,No,64.5,CSE,1
S0110,77.1,8.6,0,14,24,99.4,54.9,3,Pending,No,71.2,EEE,1
S0111,55,7.59,1,18,24,85.3,80.7,2,Paid,No,69,CSE,1
S0112,77.7,6.73,2,17,24,72.9,80.4,5,Paid,No,70.2,CSE,1
S0113,78.7,7.14,1,15,24,85.4,71.8,3,Paid,No,87.8,EEE,0
S0114,100,5.45,3,13,24,57,61.8,6,Paid,No,69,CIVIL,0
S0115,75.7,9.73,0,23,24,65.6,64,6,Paid,Yes,96.7,CIVIL,0
S0116,81.6,6.96,3,20,24,59.7,46.1,5,Paid,No,72.6,EEE,0
S0117,77.6,6.93,1,12,24,83,79.6,4,Paid,No,62.2,MECH,0
S0118,64,7.67,0,24,24,86.7,79.1,6,Pending,No,85.5,CSE,0
S0119,91.7,7.38,1,24,24,73.7,45.6,4,Paid,No,67,CSE,0
S0120,87,7.07,2,22,24,62.9,76.1,4,Paid,No,36.9,EEE,0
S0121,87.5,5.85,0,15,24,75.7,69.7,4,Paid,Yes,67.9,EEE,0
S0122,67.1,7.37,1,12,24,68.7,49.7,1,Pending,No,64.8,MECH,0
S0123,94.8,9.06,2,24,24,64.1,47.1,3,Paid,Yes,88.9,CIVIL,0
S0124,61.2,8.41,0,17,24,81.1,69.2,3,Pending,No,56.3,ECE,0
S0125,85,8.71,1,15,24,64.6,58.4,6,Pending,No,63.7,CIVIL,1
S0126,100,6.19,1,16,24,52.5,89.5,6,Paid,No,84.5,CSE,0
S0127,66.1,5.61,2,16,24,55.8,77.3,4,Paid,No,73.1,EEE,1
S0128,71.2,6.65,0,20,24,52,70.6,1,Paid,Yes,65.8,MECH,1
S0129,79.2,6.87,0,12,24,79.7,71.3,4,Paid,Yes,58.2,CIVIL,0
S0130,72,8.11,2,24,24,78.3,82.6,1,Paid,No,72.6,MECH,0
S0131,59.4,4.77,0,13,24,77.5,75.9,4,Paid,Yes,67.6,CIVIL,1
S0132,78.8,8.64,1,24,24,84.8,71,2,Pending,No,58,CSE,0
S0133,65.3,6.61,2,17,24,93.9,50.3,2,Pending,Yes,58.7,ECE,1
S0134,83.7,6.29,1,16,24,67.1,100,5,Paid,No,57.4,MECH,0
S0135,67,5.59,1,22,24,82.1,48.6,4,Paid,No,55.1,MECH,1
S0136,96.6,4.81,2,18,24,52.3,59.6,6,Paid,Yes,80.1,ECE,1
S0137,68.6,7.79,0,14,24,96.7,40.8,3,Paid,No,78.4,MECH,0
S0138,74.1,6.89,2,14,24,57.3,71.5,5,Paid,Yes,80.2,MECH,0
S0139,87.8,5.25,0,21,24,65.3,66.1,6,Paid,Yes,68.1,CIVIL,0
S0140,63.2,5.25,0,13,24,67,74.7,2,Paid,No,64.8,CIVIL,1
S0141,80.7,6.4,1,24,24,53.1,39.7,4,Paid,No,65.1,ECE,0
S0142,93.7,8.8,0,14,24,76.5,79.6,5,Pending,No,81.3,CSE,0
S0143,58.7,6.49,0,21,24,79.2,52.7,4,Paid,Yes,44.3,MECH,0
S0144,80.2,5,1,12,24,73.2,61.9,2,Paid,No,61.3,CSE,1
S0145,81.1,6.51,1,16,24,52.9,77,5,Paid,Yes,56.5,ECE,0
S0146,87.4,6.47,1,23,24,100,67.7,2,Paid,Yes,85.7,ECE,0
S0147,63.2,3.56,2,16,24,84.2,68.6,1,Paid,No,61.8,CIVIL,1
S0148,62.2,6.73,1,23,24,100,75.2,2,Paid,No,46.7,MECH,1
S0149,84.3,6.52,1,22,24,63.9,70,4,Paid,Yes,70.9,EEE,0
S0150,81.6,7.64,3,18,24,90.4,59.2,3,Paid,No,63.2,ECE,1
S0151,81,9.02,1,15,24,87.7,61.7,2,Paid,Yes,60.8,MECH,0
S0152,82.2,8.15,2,14,24,71.6,67,6,Paid,No,59.4,CSE,0
S0153,69.8,6.48,1,12,24,97.2,51.5,3,Paid,Yes,58.9,CIVIL,1
S0154,80.8,5.47,1,23,24,69.9,77.9,1,Pending,Yes,77.2,CSE,1
S0155,81.5,9.89,2,19,24,70.6,68,5,Paid,No,70.9,ECE,0
S0156,69.4,6.87,3,24,24,25,65,5,Pending,No,65.4,ECE,1
S0157,100,6.82,1,14,24,82.1,80.7,3,Paid,No,53.7,CSE,0
S0158,83.7,6.77,4,24,24,56.1,62.3,5,Pending,Yes,65.8,ECE,1
S0159,63.7,7.04,1,13,24,67.7,61.4,2,Paid,Yes,71.4,MECH,0
S0160,85.9,6.63,1,22,24,60.6,57.2,3,Paid,No,71.9,ECE,0
S0161,66.3,6.11,3,15,24,70.5,68.8,4,Paid,Yes,70.1,CIVIL,1
S0162,87.4,6.14,0,14,24,82.7,68.3,2,Paid,No,56,MECH,0
S0163,91.9,6.76,0,24,24,76.2,54.7,2,Paid,Yes,36.8,EEE,0
S0164,68.2,6.15,1,12,24,86.6,61.5,2,Paid,No,91.4,ECE,0
S0165,89.6,5.94,2,14,24,95,54.8,4,Paid,No,51,ECE,0
S0166,83,6.93,1,23,24,70.5,54.1,1,Paid,Yes,42.5,CIVIL,1
S0167,87.9,6.49,1,13,24,68.8,39.8,6,Paid,No,69.7,CIVIL,1
S0168,100,8.6,4,19,24,90.4,60.8,5,Paid,No,45.8,CSE,0
S0169,75.1,3.62,1,17,24,91.6,40.2,3,Paid,Yes,57.5,CSE,1
S0170,69,8.11,1,20,24,87.1,57.5,1,Paid,No,75.1,CSE,0
S0171,67.3,8.3,4,19,24,61.7,55.4,3,Paid,No,91,CIVIL,1
S0172,68.2,4.31,0,21,24,82.3,78.7,5,Pending,Yes,73,CSE,0
S0173,77.1,6.39,1,14,24,77.6,49.8,4,Paid,No,62.3,CSE,0
S0174,82.1,6.35,1,16,24,91.8,53.3,2,Paid,Yes,67.3,EEE,0
S0175,81.3,5.11,3,18,24,67.4,58.7,2,Pending,No,44.5,CSE,1
S0176,87.9,5.87,3,16,24,51,55.9,4,Paid,No,62.1,ECE,1
S0177,78.2,5.47,1,19,24,86.4,83.2,1,Paid,No,62.2,CIVIL,1
S0178,95.4,8.9,1,23,24,37.6,48.1,1,Paid,No,70,MECH,1
S0179,74.8,7.92,0,16,24,65,58.7,3,Paid,No,93.2,EEE,0
S0180,100,8.33,1,12,24,60.7,68.6,4,Paid,No,42.8,CIVIL,0
S0181,85.5,7.67,0,16,24,60.6,76.3,1,Paid,Yes,62.7,CIVIL,0
S0182,67.7,5.45,0,15,24,64.8,58.7,4,Paid,No,44.2,ECE,1
S0183,65.1,6.17,3,17,24,94.3,37.1,5,Paid,Yes,61.5,CSE,1
S0184,83.8,7.39,0,14,24,88.3,61.9,2,Paid,No,56.8,ECE,1
S0185,75.3,5.33,1,22,24,72.2,82.9,2,Paid,No,48.6,CSE,0
S0186,86.6,7.66,0,16,24,93,68,2,Paid,Yes,79.9,CSE,0
S0187,83.7,6.51,1,13,24,60.1,67.3,4,Paid,Yes,71.3,CIVIL,0
S0188,77.1,6.35,2,22,24,58,49.1,4,Paid,No,78.3,CSE,0
S0189,67.8,7.65,0,17,24,89,47.7,3,Paid,No,61.1,EEE,0
S0190,59.8,7.33,2,24,24,84.7,64.3,2,Pending,No,67.1,EEE,1
S0191,72.6,6.37,1,23,24,69.1,44,3,Pending,No,88.7,EEE,1
S0192,88.3,8.19,2,17,24,59,74.9,2,Paid,No,68,CIVIL,0
S0193,80.6,5.5,0,16,24,97.9,52.1,3,Paid,No,78.5,ECE,1
S0194,63.1,7.54,0,17,24,50.2,63.7,3,Paid,Yes,60,MECH,1
S0195,80.1,7.51,0,22,24,67,37.6,5,Paid,Yes,77.3,CSE,0
S0196,82.6,6.43,0,18,24,79.4,58.5,3,Paid,No,60.9,MECH,0
S0197,67.4,7.19,1,23,24,100,47.4,4,Paid,No,43.3,ECE,0
S0198,79.8,5.3,3,16,24,81.7,31.5,3,Paid,Yes,67.9,ECE,1
S0199,78.7,7.91,0,12,24,83.2,71.6,2,Paid,No,61.9,CIVIL,0
S0200,64.3,6.58,1,19,24,67.5,87,3,Pending,Yes,46.9,EEE,1
S0201,82.3,6.17,1,15,24,84.5,79.8,1,Paid,No,70.5,EEE,1
S0202,84.7,8.06,2,20,24,77.6,73.5,6,Paid,No,56.4,ECE,0
S0203,91,5.95,1,21,24,52.2,58.2,2,Paid,No,100,CIVIL,0
S0204,90.6,5.11,3,23,24,87.9,75.3,1,Paid,No,49,CIVIL,1
S0205,61.5,4.93,1,17,24,90.6,81.1,2,Paid,Yes,52.2,CSE,0
S0206,66.7,7.53,0,12,24,88.1,65.9,4,Paid,No,79.3,EEE,1
S0207,84.2,5.26,0,14,24,76.5,47.4,6,Paid,No,66.3,ECE,0
S0208,84.2,8.91,1,14,24,61.7,57,6,Paid,No,79,MECH,0
S0209,84.2,4.3,1,21,24,41.4,87.8,4,Paid,No,72.9,EEE,0
S0210,100,8.84,0,23,24,78.4,63,6,Paid,No,60.4,CSE,0
S0211,84.9,7.05,0,23,24,92.2,20,4,Paid,No,50.1,CIVIL,0
S0212,91.6,6.68,4,15,24,90.9,43.4,1,Pending,No,81.9,ECE,1
S0213,89.4,6.15,1,17,24,88.2,58.1,5,Paid,Yes,51.3,EEE,1
S0214,85.8,7.28,1,18,24,74.9,78.5,2,Paid,Yes,75.3,MECH,1
S0215,74.2,6.75,1,21,24,92.3,60.2,4,Paid,No,79.9,CSE,0
S0216,87.1,8.12,0,15,24,89.9,78.8,2,Paid,Yes,66.4,CSE,0
S0217,68.7,6.94,2,17,24,69.7,56.6,1,Paid,No,64,EEE,1
S0218,75.2,6.98,1,22,24,86.1,36.5,5,Paid,Yes,55.2,MECH,0
S0219,72.2,6.36,4,12,24,68,57.1,1,Paid,No,74,CSE,1
S0220,79,6.73,1,19,24,84.1,68.8,6,Pending,No,35,ECE,1
S0221,100,7.17,0,18,24,56.5,67.7,2,Paid,No,77.3,CSE,0
S0222,55.6,4.75,1,22,24,57.7,46.4,5,Paid,No,69.6,MECH,1
S0223,86.2,5.18,2,22,24,91.9,59.1,6,Paid,No,65.1,CIVIL,0
S0224,58.6,7.69,3,20,24,90.1,100,5,Paid,No,71.1,CIVIL,0
S0225,72.3,7.01,0,14,24,85.5,46.7,6,Paid,No,50.1,EEE,1
S0226,91.1,6.58,1,13,24,77.3,73.3,1,Paid,Yes,36.6,MECH,0
S0227,78.8,6.82,2,12,24,40.1,34.6,4,Paid,No,74.1,CSE,0
S0228,65.1,7.22,0,14,24,74.9,76.1,2,Paid,No,85.1,CSE,0
S0229,69.4,6.15,0,16,24,82.8,51.5,3,Paid,No,45.4,CIVIL,0
S0230,86.2,5.87,1,22,24,68,69.6,3,Paid,Yes,54.3,CIVIL,0
S0231,69.2,7.04,0,13,24,65.3,45.9,1,Paid,Yes,77.8,ECE,1
S0232,80.6,5.63,0,23,24,97.7,68.1,2,Paid,No,72.7,CIVIL,1
S0233,78.5,7.29,2,14,24,75.1,51.3,2,Pending,No,100,ECE,0
S0234,70.2,4.76,0,15,24,82.8,54,1,Paid,Yes,82,CSE,0
S0235,100,8.03,1,18,24,87.6,70.2,2,Paid,Yes,78.9,ECE,0
S0236,85.6,7.37,1,24,24,61,58,4,Paid,No,58.1,ECE,0
S0237,53.7,7.11,0,14,24,78.9,69.3,1,Paid,No,74.8,EEE,0
S0238,80.2,7.98,0,20,24,95.8,61.3,4,Paid,Yes,87.4,CIVIL,0
S0239,70.1,8.8,2,19,24,100,64.9,2,Pending,No,65.9,ECE,0
S0240,88.2,8.02,0,15,24,76.6,70.2,1,Paid,Yes,66.5,CSE,0
S0241,68.5,4.59,0,24,24,72.4,59.1,2,Paid,No,69.8,MECH,1
S0242,76.6,5.26,1,12,24,80,50.1,1,Paid,No,59.4,ECE,0
S0243,84.1,6.05,2,12,24,79.7,56.5,2,Paid,Yes,71.5,CIVIL,1
S0244,88.4,6.83,0,12,24,96.8,80.7,4,Paid,No,71.2,EEE,0
S0245,63.6,7.42,0,12,24,61.1,65.6,4,Paid,No,87.2,CSE,0
S0246,74,5.93,2,19,24,71.8,52.2,2,Paid,No,65.5,EEE,0
S0247,72.3,7.02,1,14,24,59.2,69.6,1,Paid,Yes,76.8,MECH,0
S0248,70.2,5.89,2,17,24,60.8,70.6,3,Paid,Yes,65.9,ECE,1
S0249,99.2,6.07,3,14,24,81.6,71.3,4,Paid,Yes,76.3,ECE,0
S0250,82.9,5.11,2,22,24,88.1,50.3,4,Paid,No,64.7,CIVIL,1
S0251,62.9,5.69,1,16,24,66.3,54.4,6,Paid,No,75.5,ECE,1
S0252,89,5.18,0,24,24,87.6,54.5,3,Paid,No,77.5,CSE,0
S0253,100,5.63,1,24,24,92.7,59,2,Paid,No,54.1,MECH,0
S0254,90.4,8.06,1,18,24,100,71.5,1,Paid,No,82.3,EEE,0
S0255,59.8,5.66,1,13,24,77,68.1,6,Paid,No,65.8,MECH,1
S0256,72.2,9.96,0,17,24,66.4,69.3,2,Paid,Yes,61.9,ECE,1
S0257,93.2,7.39,0,24,24,61,83,5,Paid,Yes,58.8,EEE,0
S0258,69.5,7.02,2,17,24,59.5,73.6,4,Paid,No,71.9,CIVIL,0
S0259,83.3,5.77,4,22,24,94.7,62,5,Paid,Yes,67.9,MECH,1
S0260,87.3,7.64,2,14,24,53.3,47.4,4,Paid,Yes,72.8,EEE,0
S0261,66.9,6.11,3,17,24,94.3,54,4,Paid,No,73.1,EEE,1
S0262,77.3,6.95,3,21,24,63,60.3,5,Paid,No,75.9,EEE,0
S0263,39.1,9.87,0,21,24,65.7,75.6,5,Paid,Yes,100,CSE,0
S0264,65.7,6.68,0,16,24,73.7,63.6,2,Paid,No,68.5,MECH,0
S0265,75,8.18,2,23,24,65.4,54.8,6,Paid,No,58.5,EEE,1
S0266,63,5.96,2,13,24,90,53.7,6,Paid,No,41.7,MECH,0
S0267,97.6,6.76,1,20,24,100,63,5,Paid,Yes,52.5,EEE,0
S0268,60.8,8.92,1,19,24,66.1,76.5,2,Paid,Yes,84.1,CIVIL,0
S0269,72.7,6.05,3,14,24,69.5,86.3,6,Paid,No,77.4,CIVIL,1
S0270,79.6,8.97,1,19,24,73.6,61.1,2,Paid,No,50.5,CIVIL,1
S0271,95.3,7.65,1,20,24,84.1,63.4,2,Paid,No,100,ECE,0
S0272,60.8,6.13,0,14,24,73.7,47,4,Pending,No,72.2,EEE,1
S0273,92,7.56,2,14,24,96.8,91.1,6,Paid,Yes,74,ECE,0
S0274,78.1,7.97,1,13,24,93.2,44.4,6,Paid,Yes,97.2,MECH,0
S0275,66.2,7.55,0,19,24,58.2,80.4,4,Paid,No,90.6,ECE,1
S0276,83.5,4.92,2,21,24,83.8,58.9,5,Paid,Yes,78.2,MECH,0
S0277,80.4,5.93,0,12,24,98.8,55.6,4,Paid,Yes,78.8,MECH,0
S0278,70.8,6.5,1,19,24,68.6,48.5,6,Paid,No,80,MECH,0
S0279,78.8,6.71,1,18,24,71.6,97.7,6,Paid,Yes,64.9,ECE,0
S0280,73.4,7.54,1,18,24,68.1,67.1,5,Paid,Yes,71.7,EEE,0
S0281,79.4,7.01,1,14,24,68.4,64.3,4,Paid,No,75.5,ECE,1
S0282,85.9,5.2,2,12,24,51,76.4,1,Pending,Yes,66.4,EEE,0
S0283,97,7.26,0,15,24,56.1,54.9,1,Paid,Yes,55.4,EEE,0
S0284,63.1,7.53,0,20,24,77.2,64,5,Paid,No,64.5,MECH,0
S0285,100,7.47,2,16,24,98.7,64.8,4,Paid,No,55.2,ECE,0
S0286,54.6,8.1,1,12,24,66.8,56.8,4,Paid,Yes,68.8,EEE,1
S0287,76.2,7.8,2,16,24,66.4,80.8,2,Paid,No,44.9,CIVIL,0
S0288,85.1,7.35,1,24,24,100,60.9,6,Paid,No,72.4,EEE,0
S0289,81.4,6.72,0,19,24,59.4,42.3,3,Paid,No,46.8,CIVIL,1
S0290,70.5,4.81,1,19,24,51.1,59.8,5,Paid,No,62.8,ECE,1
S0291,75.5,7.32,1,16,24,63.6,67.5,3,Pending,No,74.6,ECE,0
S0292,72.1,7.05,1,23,24,66.1,51.5,3,Paid,No,78.3,ECE,1
S0293,70.9,7.13,1,20,24,49.8,52.6,5,Paid,Yes,76.7,EEE,1
S0294,88.2,5.27,1,12,24,74.1,56.4,4,Paid,Yes,72.2,CSE,0
S0295,82.3,5.5,2,15,24,90.2,81.1,5,Paid,No,53.4,EEE,1
S0296,69.7,8.06,1,14,24,56.7,57.2,3,Paid,No,80.7,EEE,1
S0297,88.8,6.75,2,13,24,77.3,84,6,Paid,Yes,53.7,MECH,0
S0298,81.7,7.62,0,19,24,81.9,55.4,6,Paid,No,82.2,MECH,0
S0299,87.8,6.83,1,18,24,74.7,68.6,6,Paid,No,76.2,EEE,1
S0300,85.6,6.84,2,20,24,78.8,57.8,4,Paid,No,85.7,CIVIL,1
S0301,68.1,7.93,1,13,24,79,74.6,1,Paid,Yes,68.3,MECH,1
S0302,71.3,6.18,0,15,24,63.8,48.3,5,Pending,No,57.4,EEE,1
S0303,87,6.92,1,17,24,98.5,74.4,6,Paid,Yes,51.2,CSE,1
S0304,85.3,6.25,0,22,24,94.7,65.6,5,Paid,Yes,52.6,CIVIL,1
S0305,77.7,6.28,4,14,24,93.8,55,6,Paid,No,46.7,ECE,0
S0306,79.4,6.43,1,19,24,91.2,61.7,4,Paid,Yes,80.2,EEE,0
S0307,93.3,7.07,1,14,24,52.4,85.5,1,Pending,Yes,81.9,EEE,0
S0308,70.9,6.23,2,23,24,89.9,65.9,1,Paid,No,75.2,CIVIL,1
S0309,84.6,8.31,2,24,24,85.8,54.2,6,Paid,Yes,67.6,MECH,1
S0310,75.6,5.73,1,24,24,53,47.1,4,Paid,Yes,94.8,MECH,1
S0311,75.4,6.58,0,13,24,72.8,71.1,2,Pending,Yes,66.7,MECH,0
S0312,91.2,6.27,0,24,24,80.2,66.7,5,Paid,No,70.9,ECE,0
S0313,87.9,8.54,1,24,24,100,73.7,5,Paid,No,67.4,CIVIL,0
